external_gene_name,logFC_rna,padj_rna,CpG_Beta_diff,logFC_meth,padj_meth,ensembl_gene_id,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,RG1_All_filtered,RG2_Changes_filtered,RG3_Translation_filtered,RG4_Detection_filtered,Methylation,RNA,Protein,RG1_All,RG2_Changes,RG3_Translation
EEF2,0.432150016572607,1.30743677851324e-13,-0.1357995876884757,-1.19848128103983,3.0160775171195097e-48,ENSG00000167658,1938.0,EEF2,0.132642246970314,2.5438128996690303e-15,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
NRDC,0.271822043626068,1.30909870025711e-13,-0.1146371742320887,-1.29766785142291,3.04095985032611e-43,ENSG00000078618,4898.0,NRDC,0.273700839026727,3.21313961364667e-33,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
HOXC9,-0.561444221232381,1.36986865086645e-13,,,,ENSG00000180806,3225.0,HOXC9,0.0184331387264856,0.607957472217017,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
RBM12B,0.276534119882447,1.37009856971797e-13,-0.0651377165650158,-1.00335133609745,2.06587228312817e-69,ENSG00000183808,389677.0,RBM12B,0.0900447896440142,2.88512578535852e-11,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
RNF11,-0.28177778977353,1.39431447735957e-13,-0.1838792633215456,-1.18851014195993,2.9828577776715398e-36,ENSG00000123091,26994.0,RNF11,-0.154476711015223,1.63178065033751e-08,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
GATAD1,0.320558219273167,1.41259603426725e-13,-0.1208347959177427,-0.970719364129848,1.9518927133563301e-23,ENSG00000157259,57798.0,GATAD1,0.157641622662948,2.1783179118029e-08,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
PARS2,-0.36816398452069,1.41259603426725e-13,-0.1490943999071377,-2.01133169998366,4.29804943741904e-34,ENSG00000162396,25973.0,PARS2,-0.67834570418315,1.23061277472133e-53,Hypomethylation + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Hypomethylation,RNA No change,Protein DOWN,Hypomethylation + RNA No change + Protein DOWN,TMDS,TMDS
BTBD7,-0.317970588310521,1.43973771189565e-13,-0.1708929303509037,-1.69248974531937,1.42236846471089e-68,ENSG00000011114,55727.0,BTBD7,0.33941494652752,2.29319645170439e-08,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
NKAP,0.244904612809965,1.4617601361800998e-13,-0.139824372012944,-0.82989529879097,1.77957686943841e-12,ENSG00000101882,79576.0,NKAP,0.126408381877023,3.05184950791427e-07,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
FBXO33,-0.281495193290766,1.48641527361409e-13,0.0136778812761475,0.202456981445638,0.0008930604088991,ENSG00000165355,254170.0,FBXO33,0.0099968840371268,0.865116476035973,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
ADH1A,-0.863826924109565,1.53206575638149e-13,,,,ENSG00000187758,124.0,ADH1A,-1.11072575558702,9.287405427515911e-47,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Methylation No change,RNA No change,Protein DOWN,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS
NAPSA,-1.6317788099629,1.55036583310032e-13,-0.1355684526169377,-0.809509633307924,1.4133929153495199e-28,ENSG00000131400,9476.0,NAPSA,-1.66193159295218,6.59641670908183e-64,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
CELSR1,-0.721299585025509,1.56994532561573e-13,-0.1922446096191661,-4.12170736663965,6.12407616667047e-199,ENSG00000075275,9620.0,CELSR1,-0.216170591127245,6.309677214121142e-14,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
NHS,-0.527253220720181,1.5935670120799e-13,-0.151560412944911,-0.950154412793802,4.64524787249102e-20,ENSG00000188158,4810.0,NHS,-0.0331694953853529,0.258143059280666,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
RBM38,-0.555943088769985,1.59575204805802e-13,-0.1278886329586512,-0.862017752271679,6.86165471818053e-32,ENSG00000132819,55544.0,RBM38,-0.145705121658876,1.44774947741338e-05,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
WIPI2,-0.24642340742225,1.6012182642220998e-13,-0.1993102641789368,-2.08411087422402,2.54275982423514e-56,ENSG00000157954,26100.0,WIPI2,0.0173401042790361,0.383573976143057,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
CDV3,0.368762553994002,1.61095632807871e-13,-0.054216024352111,-0.342422369627279,9.66936650854522e-06,ENSG00000091527,55573.0,CDV3,0.245671425749342,4.2005971959589e-20,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
ITPKC,0.724391603116603,1.61725467959169e-13,-0.0186933832750324,-0.127381563610119,0.0111805974711291,ENSG00000086544,80271.0,ITPKC,0.427380045847466,4.23695284830163e-43,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
RAB11B,-0.410234500581855,1.66281605207509e-13,-0.0268681326570485,-0.615355035375499,1.18747010265808e-33,ENSG00000185236,9230.0,RAB11B,-0.226685851612131,4.40308303618819e-25,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
ELOVL4,-0.862441919480472,1.66806763842388e-13,0.1403746349957736,1.80751246995178,2.0223217637316003e-26,ENSG00000118402,6785.0,ELOVL4,0.0696094218815619,0.280811287450915,Hypermethylation + RNA No change + Protein not-significant,None,None,None,Hypermethylation,RNA No change,Protein not-significant,Hypermethylation + RNA No change + Protein not-significant,None,None
ASMTL,-0.402018140530985,1.67132665007217e-13,,,,ENSG00000169093,8623.0,ASMTL,-0.197781466544463,1.3754089546827e-10,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
NSD1,0.216037599265018,1.67268409627759e-13,,,,ENSG00000165671,64324.0,NSD1,-0.415775302648926,7.17319655786367e-20,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
NDUFAF1,-0.340261355821367,1.71542368759344e-13,-0.0681310494672052,-0.413929219024439,2.59595171209375e-06,ENSG00000137806,51103.0,NDUFAF1,-0.712298757041833,2.3658235089344006e-45,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Methylation No change,RNA No change,Protein DOWN,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS
DEPTOR,-0.750715986263563,1.75982655473437e-13,0.1516462743607645,1.0445729375477,1.38638329412984e-24,ENSG00000155792,64798.0,DEPTOR,-0.343340761603502,2.12442162396544e-23,Hypermethylation + RNA No change + Protein significant-negative,None,None,None,Hypermethylation,RNA No change,Protein significant-negative,Hypermethylation + RNA No change + Protein significant-negative,None,None
PDCD10,0.298486588453582,1.7649126321834e-13,,,,ENSG00000114209,11235.0,PDCD10,-0.142012030444686,1.76936279940197e-22,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
RSRC1,0.312931809537281,1.77778151786991e-13,0.0857519454868228,0.499096131251182,4.58073516788769e-05,ENSG00000174891,51319.0,RSRC1,0.0931948951216596,1.0989352489824302e-09,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
TIGAR,0.468852460704827,1.77868084361071e-13,-0.0573710061983007,-0.708380417149894,1.39754576726306e-41,ENSG00000078237,57103.0,TIGAR,0.341860600503415,2.6793126838589698e-30,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
ZSCAN20,0.315914250413223,1.77886856722562e-13,,,,ENSG00000121903,7579.0,ZSCAN20,-0.100635761716409,0.0574599805436149,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
PARD6G,-0.539623333887463,1.79868500186013e-13,0.0098368897182109,0.142646189974659,0.000554235065694,ENSG00000178184,84552.0,PARD6G,-0.15742535299053,0.0004590412557006,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
ARL3,-0.421291528553983,1.79962749979958e-13,-0.0082261838886723,-0.254820609538467,5.3557791067269e-11,ENSG00000138175,403.0,ARL3,-0.139984913598875,2.9960228864183e-11,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
MMP3,-1.86228651889929,1.84121830334401e-13,-0.1833611603548982,-1.40115667267189,1.16749060924719e-41,ENSG00000149968,4314.0,MMP3,-0.0977940748700783,0.115977905419793,Hypomethylation + RNA DOWN + Protein not-significant,TPDS_TMDE,None,TPDS_TMDE,Hypomethylation,RNA DOWN,Protein not-significant,Hypomethylation + RNA DOWN + Protein not-significant,TPDS_TMDE,None
PRKD1,-0.597533547743898,1.8425571864417e-13,-0.2126486254558397,-1.54588782979089,4.93150397026243e-38,ENSG00000184304,5587.0,PRKD1,-0.175908979983221,5.5103035999523296e-11,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
SHE,0.668426179033464,1.87361235902286e-13,0.3004425569531203,2.63426551256395,3.0174204184526798e-71,ENSG00000169291,126669.0,SHE,0.234530999640417,8.86484908244841e-10,Hypermethylation + RNA No change + Protein significant-positive,None,None,None,Hypermethylation,RNA No change,Protein significant-positive,Hypermethylation + RNA No change + Protein significant-positive,None,None
OSBPL8,-0.333960972225283,1.87644810732698e-13,-0.1522657508850979,-1.65644269890723,6.863003245348821e-58,ENSG00000091039,114882.0,OSBPL8,-0.627139333573057,1.64788454903491e-44,Hypomethylation + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Hypomethylation,RNA No change,Protein DOWN,Hypomethylation + RNA No change + Protein DOWN,TMDS,TMDS
NCOA6,-0.406438715172392,1.88878241138397e-13,-0.2486966454757984,-2.41645411126936,9.07829421563613e-108,ENSG00000198646,23054.0,NCOA6,0.0465594030924138,0.0095592731103345,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
FSTL5,-2.06607693101317,1.89574473071324e-13,0.0928907165379747,0.772507581125058,6.88302103578746e-19,ENSG00000168843,56884.0,FSTL5,0.212144738699603,4.01435548439127e-07,Methylation No change + RNA DOWN + Protein significant-positive,TPDS_TMDE,TMDE,TPDS_TMDE,Methylation No change,RNA DOWN,Protein significant-positive,Methylation No change + RNA DOWN + Protein significant-positive,TPDS_TMDE,TMDE
GDPGP1,-0.43194773685187,1.89843583131028e-13,-0.0641873231189996,-1.95900401079829,3.8259412093580296e-134,ENSG00000183208,390637.0,GDPGP1,0.0027334361533345,0.890905064721566,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
QTRT2,0.277862382243982,1.91656777438762e-13,-0.0685457980197666,-0.570827575823144,2.5389630980139e-14,ENSG00000151576,79691.0,QTRT2,-0.208017058612012,1.61761435968471e-16,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
B4GALT7,0.472422589866336,1.96848783685548e-13,-0.03838026367847,-0.743673710529847,6.960298746669379e-40,ENSG00000027847,11285.0,B4GALT7,0.388034918412896,5.1297854216992e-30,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
RARG,0.528543911323326,2.18166971012246e-13,0.1678260143168785,1.34703866254912,9.45545101985626e-42,ENSG00000172819,5916.0,RARG,-0.0046968296775746,0.905626821513479,Hypermethylation + RNA No change + Protein not-significant,None,None,None,Hypermethylation,RNA No change,Protein not-significant,Hypermethylation + RNA No change + Protein not-significant,None,None
NAXE,-0.394455584751907,2.19366737600843e-13,0.152157435420675,0.924158596578564,1.9360220430965e-29,ENSG00000163382,128240.0,NAXE,-0.348185686204006,2.6143637218496e-44,Hypermethylation + RNA No change + Protein significant-negative,None,None,None,Hypermethylation,RNA No change,Protein significant-negative,Hypermethylation + RNA No change + Protein significant-negative,None,None
ATP11C,0.241378299151502,2.2442749756990003e-13,-0.5145962685239851,-3.47649729231556,1.1016797395084202e-112,ENSG00000101974,286410.0,ATP11C,-0.0092638243716573,0.692092504217497,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
BOK,-0.71695338782209,2.25653483770521e-13,0.0806951574435982,1.24205159651002,1.17153723314774e-25,ENSG00000176720,666.0,BOK,-0.301803684666277,2.5169425960938505e-17,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
GPRC5B,-0.619959447707807,2.2916479984025e-13,-0.1547362326099642,-1.41454919674742,1.92583148692856e-24,ENSG00000167191,51704.0,GPRC5B,-0.105731765607833,0.0019211617640754,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
DCDC2,-1.092277541825,2.3013246762989497e-13,0.1004712292398102,0.980725940280643,1.47224656264841e-38,ENSG00000146038,51473.0,DCDC2,-0.39505901580373,1.74063884642937e-09,Hypermethylation + RNA DOWN + Protein significant-negative,MDS_TMDE,MDS,MDS,Hypermethylation,RNA DOWN,Protein significant-negative,Hypermethylation + RNA DOWN + Protein significant-negative,MDS_TMDE,MDS
CARD14,1.3762320880899,2.31697880169557e-13,-0.2843490209863886,-2.08223990769581,5.0836478686976795e-55,ENSG00000141527,79092.0,CARD14,-0.128103840317518,0.0041666474754478,Hypomethylation + RNA UP + Protein significant-negative,MDE_TMDS,TMDS,MDE_TMDS,Hypomethylation,RNA UP,Protein significant-negative,Hypomethylation + RNA UP + Protein significant-negative,MDE_TMDS,TMDS
AGPS,0.387596596415163,2.33234880365281e-13,,,,ENSG00000018510,8540.0,AGPS,-0.120661110490501,3.78931757251479e-06,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
TRIM55,1.06124723045782,2.34081997271564e-13,-0.166061765480173,-1.03108033016832,1.4828376608510801e-25,ENSG00000147573,84675.0,TRIM55,0.502315802469137,2.6641727024649e-18,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
EDEM3,0.313110748832108,2.36299574134761e-13,-0.009718186526056,-0.188193202216428,2.98680082932781e-05,ENSG00000116406,80267.0,EDEM3,0.15241538214344,1.1900475844892302e-09,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
HDAC10,0.368565559653011,2.43836741899206e-13,-0.123451952166763,-0.755761868456067,2.45402609379275e-35,ENSG00000100429,83933.0,HDAC10,0.484102014602294,7.26371165295823e-47,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
ZNF286A,0.36037226676593,2.45015651281686e-13,-0.1146911893082146,-1.42825615467164,5.65881192092996e-81,ENSG00000187607,57335.0,ZNF286A,0.240144324583484,5.5075227231608e-06,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
C6orf47,0.279297464381854,2.46046261384208e-13,-0.0365568069052468,-0.264266491487252,0.0026671853108969,ENSG00000204439,57827.0,C6orf47,-0.297568330572304,1.0032913654218701e-15,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
KLHDC10,0.421699684632882,2.4771444815454e-13,-0.0091781831081667,-0.217090747421499,0.00071173666914,ENSG00000128607,23008.0,KLHDC10,0.196666555945191,4.11007159552856e-07,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
ASB1,-0.307120927380386,2.51864241477708e-13,,,,ENSG00000065802,51665.0,ASB1,0.345089388488155,2.08158326217156e-10,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
COG8,-0.322426462752547,2.60206707426959e-13,-0.2704736686994611,-1.72158348001711,1.2463530754583399e-42,ENSG00000213380,84342.0,COG8,0.166386343894931,1.55439160095147e-16,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
PLA2G4A,-0.724425681274443,2.72981321023085e-13,-0.292951516929262,-2.17507684972944,1.0416422048053299e-55,ENSG00000116711,5321.0,PLA2G4A,-0.547470732350474,3.03889721375421e-25,Hypomethylation + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Hypomethylation,RNA No change,Protein DOWN,Hypomethylation + RNA No change + Protein DOWN,TMDS,TMDS
PPME1,0.362755065822642,2.73059818303371e-13,-0.0547201610746133,-0.705680812626007,3.9202883553046503e-23,ENSG00000214517,51400.0,PPME1,0.25757575572336,7.89080970017291e-28,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
MDC1,-0.375734550452715,2.73638380285996e-13,-0.072189847683031,-0.891895328508257,6.4257566517979875e-56,ENSG00000137337,9656.0,MDC1,0.0829687648024791,2.82968210715854e-05,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
EDNRB,0.968165142768813,2.76773867805003e-13,0.2850645501208586,3.87020849672766,1.4297829481490098e-82,ENSG00000136160,1910.0,EDNRB,0.625195591943792,9.410733349582353e-31,Hypermethylation + RNA No change + Protein UP,TMDE,TMDE,TMDE,Hypermethylation,RNA No change,Protein UP,Hypermethylation + RNA No change + Protein UP,TMDE,TMDE
WDR47,0.263174236658173,2.81692964021819e-13,-0.0647142183467489,-1.16427671456974,3.8495434579808883e-47,ENSG00000085433,22911.0,WDR47,0.231485832434376,8.677196490158459e-30,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
IST1,0.215659978254621,2.84305753362255e-13,-0.0928940162959262,-1.23853949004994,1.00024204215346e-53,ENSG00000182149,9798.0,IST1,-0.118238530610517,2.8348945840042103e-10,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
POLR3E,-0.249767940374704,2.84879114485693e-13,-0.1788550542974061,-1.22145352632593,1.48703368133032e-39,ENSG00000058600,55718.0,POLR3E,0.082083191897398,7.14592592995399e-05,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
DPYSL4,1.9173514590687,2.9160246550021e-13,,,,ENSG00000151640,10570.0,DPYSL4,0.343559056176613,1.60873876304668e-17,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
PSMA2,0.319425254529439,2.96778191200722e-13,-0.0485019898104004,-0.837373657980262,2.50912738777467e-44,ENSG00000106588,5683.0,PSMA2,0.231328118182908,5.29997759493549e-32,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
MRPS9,-0.313367169796782,3.00591210944289e-13,-0.020727319484333,-0.149029616770004,0.0490075498769501,ENSG00000135972,64965.0,MRPS9,-0.814870656220324,7.643159386922979e-64,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Methylation No change,RNA No change,Protein DOWN,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS
CEP76,0.346647363831558,3.16538919309764e-13,-0.1845396800664166,-1.69810598279698,9.6953811369556e-57,ENSG00000101624,79959.0,CEP76,0.0166967175705082,0.627309077390904,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
MPHOSPH9,0.369416954919929,3.2166744285251097e-13,-0.1222544341820085,-1.46075109533843,1.4146057167749601e-46,ENSG00000051825,10198.0,MPHOSPH9,0.0739998170768993,0.0977541945155869,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
CNOT3,-0.371504757256615,3.27924030599191e-13,0.106434047441841,0.926301532190336,2.71677053488704e-10,ENSG00000088038,4849.0,CNOT3,0.162758065103238,2.4883087916015597e-28,Hypermethylation + RNA No change + Protein significant-positive,None,None,None,Hypermethylation,RNA No change,Protein significant-positive,Hypermethylation + RNA No change + Protein significant-positive,None,None
SRBD1,0.232013507400879,3.35455404634217e-13,-0.136100305777749,-1.34681574173845,1.46382046353032e-37,ENSG00000068784,55133.0,SRBD1,-0.019043294977825,0.198459514029374,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
CAMKMT,-0.359450195737924,3.35565497866023e-13,-0.1786085865071051,-1.10821662419875,2.0216017595426998e-30,ENSG00000143919,79823.0,CAMKMT,-0.0244787108370189,0.555109903200396,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
ZW10,0.242889682464338,3.37089400956224e-13,-0.0142203688167019,-0.42318768559604,5.91435472620792e-27,ENSG00000086827,9183.0,ZW10,-0.119065058132567,2.61844182206639e-10,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
CD209,1.25796792311332,3.37711152589355e-13,-0.1350755183613552,-1.63092277925336,5.32939542452599e-55,ENSG00000090659,30835.0,CD209,0.225814935181435,0.0059893296784508,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
SLC4A3,-1.5684444300882,3.38810064910204e-13,-0.0967874638531528,-0.619279057827741,4.92724214896409e-26,ENSG00000114923,6508.0,SLC4A3,0.641425392544649,1.93972835888903e-28,Methylation No change + RNA DOWN + Protein UP,TPDS_TMDE,TMDE,TPDS_TMDE,Methylation No change,RNA DOWN,Protein UP,Methylation No change + RNA DOWN + Protein UP,TPDS_TMDE,TMDE
ENTR1,0.262561875942332,3.41398611483463e-13,-0.0738421140378968,-1.69192794836341,1.4275449715594299e-42,ENSG00000165689,10807.0,ENTR1,0.0995465277394783,8.62973424124785e-05,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
ETS2,0.625047689430393,3.42954185310319e-13,-0.1225604155839219,-1.3445782113429,5.80640569045555e-17,ENSG00000157557,2114.0,ETS2,-0.126229018229096,0.0188969988680203,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
CDC42BPB,-0.369038248456694,3.43329962998854e-13,-0.2403341240876894,-2.2398832731576,6.70279174902847e-51,ENSG00000198752,9578.0,CDC42BPB,-0.0419000054420946,0.0404771250132377,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
CHGA,-1.08881063138152,3.44408074625094e-13,0.1396116179629029,0.836717455399417,1.65980728825491e-27,ENSG00000100604,1113.0,CHGA,-0.890148827944432,3.06306280595447e-21,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
FAM174B,0.594330294312785,3.48170240530187e-13,,,,ENSG00000185442,400451.0,FAM174B,0.118946121586032,0.0034897547277943,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
SNX4,-0.416246472367291,3.60719374282355e-13,-0.0733521188113206,-0.724659676474085,3.8691106776011004e-16,ENSG00000114520,8723.0,SNX4,-0.237733571856647,2.3624154556434302e-14,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
ATRAID,0.363191667960875,3.71201382433266e-13,-0.1125528813528594,-0.723068117271435,1.65238407959159e-16,ENSG00000138085,51374.0,ATRAID,0.0650776353136478,0.0227844770752793,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
